Name,SelfhostValue,SelfhostExpiry,SelfhostEnabled,PeValue,PeExpiry,PeEnabled,Status,DifferentFields
4CF8C6F4-C96E-4454-A6D0-196EAAC3E496,true,2026-06-19T00:00:00.0402432Z,True,,,False,Only in selfhost,
APv2ScriptNullRefFix,true,2027-06-01T00:00:00.000Z,True,,,False,Only in selfhost,
CollectAppInvForNonEmptyGuids,true,2026-04-01T00:00:00.000Z,True,,,False,Only in selfhost,
dnsErrorRetryDelay,true,2025-09-01T00:00:00.000Z,True,,,False,Only in selfhost,
EmitSidecarMsiInstallerEvent,true,2026-12-18T00:00:00.000Z,True,,,False,Only in selfhost,
EnableCleanupMsiKeyOnUninstall,true,2026-12-18T00:00:00.000Z,True,,,False,Only in selfhost,
EnableComplianceMonitorSimulateMode,false,2026-11-07T00:00:00Z,False,,,False,Only in selfhost,
EnableCpuUsageTelemetry,true,2027-10-21T00:00:00.000Z,True,,,False,Only in selfhost,
EnableEventBasedComplianceEventLog,true,2026-12-01T00:00:00.000Z,True,,,False,Only in selfhost,
EnableHourlyComplianceScriptCadence,true,2026-11-07T00:00:00Z,True,,,False,Only in selfhost,
EnableIC3Probe,true,2027-06-01T00:00:00.000Z,True,,,False,Only in selfhost,
EnableIC3Telemetry,true,2026-06-01T00:00:00.000Z,True,,,False,Only in selfhost,
EnableNotificationDedupeCache,true,2026-06-01T00:00:00.000Z,True,,,False,Only in selfhost,
EnableOneDSProxyFeature,true,2026-12-31T00:00:01.000Z,True,,,False,Only in selfhost,
EnablePutWithTupleResult,true,2025-08-18T00:00:00.000Z,True,,,False,Only in selfhost,
EnableRealTimeComplianceDevice,true,2026-11-07T00:00:00Z,True,,,False,Only in selfhost,
EnableStartupOptimization,true,2026-10-01T00:00:00.000Z,True,,,False,Only in selfhost,
featureX,true,2025-04-23T18:25:43.511Z,True,,,False,Only in selfhost,
OperationSpanLoggingEnabled,true,2027-12-31T23:59:59.0000000Z,True,,,False,Only in selfhost,
RunNontrackedAppsCheckinImmediatelyAfterDpp,true,2027-03-17T00:00:00.0402432Z,True,,,False,Only in selfhost,
RunNontrackedAppsCheckinImmediatelyAfterEsp,true,2027-03-17T00:00:00.0402432Z,True,,,False,Only in selfhost,
ValidateRolloutTemplate,true,2025-10-01T00:00:00.000Z,True,,,False,Only in selfhost,
win32AppEnforcementTelemetryEnabled,true,2027-12-31T23:59:59.0000000Z,True,,,False,Only in selfhost,
wingetRetryOnTransientErrors,true,2026-06-04T00:00:00.000Z,True,,,False,Only in selfhost,
